yob	ntokens	nauthors
1947	438.0	1.0
1951	877987.0	2.0
1952	78339.0	2.0
1954	307228.0	4.0
1955	59851.0	5.0
1956	99923.0	4.0
1957	113942.0	4.0
1958	7074.0	1.0
1959	37186.0	3.0
1960	408374.0	7.0
1961	1113931.0	10.0
1962	146902.0	8.0
1963	491803.0	8.0
1964	661235.0	10.0
1965	930933.0	15.0
1966	769501.0	21.0
1967	1315853.0	26.0
1968	1115290.0	31.0
1969	903749.0	34.0
1971	3470810.0	85.0
1972	3244903.0	74.0
1973	7326294.0	106.0
1974	5568389.0	120.0
1975	6921307.0	132.0
1976	6489682.0	173.0
1977	5187375.0	174.0
1978	8993720.0	223.0
1979	8479165.0	221.0
1980	10225407.0	283.0
1981	10391577.0	287.0
1982	8916177.0	278.0
1983	10342939.0	300.0
1984	9828678.0	291.0
1985	9205072.0	297.0
1986	9125429.0	296.0
1987	8669396.0	263.0
1988	5803899.0	182.0
1989	4085374.0	170.0
1990	3781402.0	102.0
1991	887546.0	53.0
1992	88369.0	21.0
