variable	fold1	fold2	fold3	fold4	mean
fortsätta	0.012663066406623347	0.017913818179717822	0.011340929582256243	0.015066089480154032	0.014245975912187861
försöka	0.051236099090460965	0.03438669644267603	0.006793626707512421	0.03234311100432267	0.03118988331124302
glömma	0.060140966160854153	0.025495204704033547	0.025660418377266084	0.06655693642014862	0.0444633814155756
komma	0.094899816987915	0.04544969450303857	0.03208502332610069	0.07818207891090043	0.06265415343198867
planera	0.05140553749470837	0.03473435217352126	0.02330445562043306	0.030502370532026805	0.03498667895517238
riskera	0.17254723505092953	0.09588568726382402	0.0427877073589694	0.06044059336935849	0.09291530576077037
slippa	0.024708275983917602	0.005606324152870587	0.011442217942446202	0.02333610108974055	0.016273229792243736
sluta	0.04664599851955488	0.032794099242085595	0.01704117646304057	0.016627278089734764	0.02827713807860395
vägra	0.07953280225681379	0.04862852571388969	0.017419177711992195	0.07351106845005051	0.05477289353318655
mean	0.06597553310575308	0.03787715581951746	0.020874970343335207	0.04406284748293743	0.04219762668788579
