variable	variable	#cohort1	#cohort2	#cohort3	#cohort4	#cohort5	#cohort6	#cohort7	#cohort8	mean
fortsätta	0.27655865297051924	0.34334558083102246	0.02262042052963881	0.019020350870308126	0.08217317243594235	0.05067620923161273	0.034953311781407335	0.09535978536153362	0.11558843550149811
försöka	0.09711072366808991	0.24943987187091868	0.20474246012675976	0.126524864929619	0.031636109839797796	0.011294045663111731	0.09684820377142221	0.10133730141615678	0.1148666976607345
glömma	0.3781926407192634	0.05521315870354876	0.05906811353755937	0.035776143675143875	0.0360948486318601	0.03277258853741583	0.003407666652140963	0.004382505232538415	0.07561345821118384
komma	0.07090147756301801	0.11834727504656085	0.07558037302045809	0.10336866356679825	0.015217763869067766	0.0020405692361126753	0.09290738436729323	0.023624329690049253	0.06274847954491976
planera	0.0027466940664448965	0.003426362421914422	0.11739534574973423	0.019022382432916624	0.0743013518147706	0.004126423648717893	0.03598873186136977	0.08622789968336442	0.042904398959904104
riskera	0.03090489588414601	0.09927777185508976	0.2662186824012811	0.09216050026190593	0.08821442884347874	0.08542285231083195	0.10534859515950738	0.11402294048113007	0.11019633339967136
slippa	0.03307266204792268	0.1670133848471411	0.08623905975585147	0.03727083728376492	0.014330488580645255	0.013052153337109318	0.05901096956468148	0.09445405305546639	0.06305545105907281
sluta	0.022644992332670984	0.13385846427639203	0.05736716442508433	0.06552619312659083	0.07793869788108497	0.006529134174361158	0.03488642019786799	0.022078545988786155	0.052603701550354806
vägra	0.5260158910404857	0.07605232816430486	0.09991957227453739	0.036365949833492645	0.011651965663872998	0.040619245172748786	0.1269954461223787	0.1049008568774769	0.12781515689366224
mean	0.15979429225472896	0.13844157755743253	0.10990568798010052	0.05944843177561557	0.04795098084005784	0.02739258014578023	0.06559408105311879	0.0718209130873891	0.08504356808677795
