period	username	age	agebin	total	v1abs	v2abs	v1rel	v2rel
2009	idiblon	27		16.0	0.0	16.0	0.0	1.0
2009	lokisse	48		14.0	0.0	14.0	0.0	1.0
2009	Jungblom	23		21.0	1.0	20.0	0.047619047619047616	0.9523809523809523
2009	mamita64	44		12.0	0.0	12.0	0.0	1.0
2009	Dorian Ertymexx	36		29.0	1.0	28.0	0.034482758620689655	0.9655172413793104
2009	JAG är BÄST	36		18.0	0.0	18.0	0.0	1.0
2009	Pallas	35		12.0	1.0	11.0	0.08333333333333333	0.9166666666666666
2009	Pyris	31		11.0	0.0	11.0	0.0	1.0
2009	saltflingan	19		14.0	0.0	14.0	0.0	1.0
2009	Sigrid	34		12.0	0.0	12.0	0.0	1.0
2009	Gladabarnensmamma	26		12.0	0.0	12.0	0.0	1.0
2009	FreeForAll	25		10.0	0.0	10.0	0.0	1.0
2009	Marlene	42		17.0	0.0	17.0	0.0	1.0
2009	guldplutt	38		11.0	0.0	11.0	0.0	1.0
2009	fruganL	19		23.0	0.0	23.0	0.0	1.0
2009	lilla mej	31		10.0	0.0	10.0	0.0	1.0
2009	TessaS	35		10.0	0.0	10.0	0.0	1.0
2009	AW76	32		14.0	0.0	14.0	0.0	1.0
2009	Mylla	29		11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
2009	MrsCharlotte	28		13.0	0.0	13.0	0.0	1.0
2009	modestyclara	30		15.0	0.0	15.0	0.0	1.0
2009	Joje	34		18.0	0.0	18.0	0.0	1.0
2009	lisadragon	24		30.0	1.0	29.0	0.03333333333333333	0.9666666666666667
2009	clembke	28		12.0	8.0	4.0	0.6666666666666666	0.3333333333333333
2009	lillabebben	29		11.0	0.0	11.0	0.0	1.0
2009	hejsvej	26		20.0	0.0	20.0	0.0	1.0
2009	Beckah82	26		17.0	0.0	17.0	0.0	1.0
2009	MiniFröberg	25		10.0	0.0	10.0	0.0	1.0
2009	goatess82	26		12.0	0.0	12.0	0.0	1.0
2009	MangaGirl	31		12.0	0.0	12.0	0.0	1.0
2009	Winglur	20		13.0	0.0	13.0	0.0	1.0
2009	Amulett	33		11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
2009	underverket 06	38		11.0	0.0	11.0	0.0	1.0
2009	Gladhannapanna	37		11.0	0.0	11.0	0.0	1.0
2009	mithrandil	26		22.0	0.0	22.0	0.0	1.0
2009	NadiaMi	34		11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
