period	v1ipm	v1abs
2004	608.2439415996369	272
2005	576.5538018921145	1903
2006	525.3934998373725	2192
2007	535.0867650146864	2961
2008	515.2354498626776	3964
2009	557.0486802539447	4936
2010	593.9231051888056	5864
2011	609.9445078083404	5689
2012	610.7072731998829	5829
2013	627.5682075750964	8762
2014	657.016492028287	10563
2015	712.2609481677727	13679
2016	694.676399530188	15095
2017	679.5960960775263	14397
2018	619.1000166971008	11650
2019	600.7731417907243	10979
2020	557.9140491630791	8941
2021	543.5611668206044	8142
2022	564.2464897156113	5380
