age	change	iqr	bin	binlabel
36	0.008573181228694066	0.0	3	30--39
37	0.035195365424486286	0.0	3	30--39
38	-0.07479876664006034	0.0029490894250758367	3	30--39
39	-0.011481509157400645	0.0	3	30--39
40	0.014022400013584591	0.0003628272366969483	4	40--49
41	-0.026837272058232674	0.00554473105458065	4	40--49
42	-0.008527723183764994	0.0016856107031546455	4	40--49
43	-0.011146960779928832	0.0	4	40--49
44	0.002983912782115321	0.0	4	40--49
45	-0.00580849085958827	0.0	4	40--49
46	-0.004404609695249471	0.0	4	40--49
47	-0.0013928698384686755	0.0	4	40--49
48	0.011268977007822154	0.0	4	40--49
49	-0.003202987515774107	0.0	4	40--49
50	-0.005882058653468037	0.0	5	50--59
51	0.004167250782226398	0.0	5	50--59
52	-0.0062357965821843424	0.0	5	50--59
53	0.005283448901521353	0.0	5	50--59
54	0.06319251651975608	0.0	5	50--59
55	0.00852171766223185	0.0	5	50--59
56	0.04998154507453197	0.001605801573527531	5	50--59
57	-0.0015485448022552006	0.0	5	50--59
58	-0.05134172169931376	0.0	5	50--59
59	0.02690931212779359	0.046266924344160146	5	50--59
60	-0.013803066297463445	0.011179076986947568	6	60+
61	0.07176467433982114	0.07569276610218592	6	60+
62	-0.016816116926735434	0.013239873465267206	6	60+
63	0.018963161696861065	0.05962798813850183	6	60+
64	-0.025477427741111655	0.02132117970732865	6	60+
65	0.13164716149708539	0.13164716149708539	6	60+
66	-0.06756476207561138	0.06756476207561138	6	60+
67	0.0	0.0	6	60+
68	0.0	0.0	6	60+
69	0.0	0.0	6	60+
29	0.01975043113384455	0.010943129263223429	2	20--29
30	0.07833111629074038	0.01177734405514234	3	30--39
31	-0.05305495533361957	0.013087902972938485	3	30--39
32	-0.01831157887161673	0.01578922566164629	3	30--39
33	0.014966154786684444	0.00799212634037616	3	30--39
34	0.0025483258021920274	0.015217141340153133	3	30--39
35	0.0027110612361874184	0.0024266389964463595	3	30--39
28	-0.04983784891048241	0.0019143327170519334	2	20--29
18	0.06165400282094504	0.022592345955896487	1	<20
19	-0.038142238531592335	0.0	1	<20
20	0.0021344577990249332	0.0010182557587284234	2	20--29
21	0.022764283637693963	0.023015972444756477	2	20--29
22	0.030170494014379212	0.01183797559474272	2	20--29
23	0.049842382466912215	0.010453484190729386	2	20--29
24	-0.012897919406314575	0.0008349694458107235	2	20--29
25	0.04664455118313985	0.01709259411045566	2	20--29
26	0.030124186307425672	0.009671717742691387	2	20--29
27	0.015559708784082079	0.004120908987541599	2	20--29
16	0.0	0.0	1	<20
17	0.0	0.0	1	<20
